"Date","Actual","Previous"
"Oct 24, 2025",NA,0.3
"Aug 12, 2025",0.3,0.2
"Jul 15, 2025",0.2,0.2
"May 13, 2025",0.2,0.1
"Apr 10, 2025",0.1,0.2
"Mar 12, 2025",0.2,0.4
"Feb 12, 2025",0.4,0.2
"Jan 15, 2025",0.2,0.3
"Nov 13, 2024",0.3,0.3
"Oct 10, 2024",0.3,0.2
"Aug 14, 2024",0.2,0.2
"Jun 12, 2024",0.2,0.3
"May 15, 2024",0.3,0.4
"Apr 10, 2024",0.4,0.4
"Mar 12, 2024",0.4,0.4
"Feb 13, 2024",0.4,0.3
"Dec 12, 2023",0.3,0.2
"Nov 14, 2023",0.2,0.3
"Oct 12, 2023",0.3,0.3
"Sep 13, 2023",0.3,0.2
"Aug 10, 2023",0.2,0.2
"Jul 12, 2023",0.2,0.4
"Jun 13, 2023",0.4,0.4
"May 10, 2023",0.4,0.4
"Apr 12, 2023",0.4,0.5
"Mar 14, 2023",0.5,0.4
"Feb 14, 2023",0.4,0.3
"Jan 12, 2023",0.3,0.2
"Dec 13, 2022",0.2,0.3
"Nov 10, 2022",0.3,0.6
"Oct 13, 2022",0.6,0.6
"Sep 13, 2022",0.6,0.3
"Aug 10, 2022",0.3,0.7
"Jul 13, 2022",0.7,0.6
"Jun 10, 2022",0.6,0.3
"Apr 12, 2022",0.3,0.5
"Mar 10, 2022",0.5,0.6
"Feb 10, 2022",0.6,0.6
"Jan 12, 2022",0.6,0.5
"Dec 10, 2021",0.5,0.6
"Nov 10, 2021",0.6,0.2
"Oct 13, 2021",0.2,0.1
"Sep 14, 2021",0.1,0.9
"Jul 13, 2021",0.9,0.7
"Jun 10, 2021",0.7,0.9
"May 12, 2021",0.9,0.3
"Apr 13, 2021",0.3,0.1
"Mar 10, 2021",0.1,0
"Feb 10, 2021",0,0.1
"Jan 13, 2021",0.1,0.2
"Dec 10, 2020",0.2,0
"Nov 12, 2020",0,0.2
"Oct 13, 2020",0.2,0.6
"Aug 12, 2020",0.6,0.2
"Jul 14, 2020",0.2,-0.1
"Jun 10, 2020",-0.1,-0.4
"May 12, 2020",-0.4,-0.1
"Apr 10, 2020",-0.1,0.2
"Feb 13, 2020",0.2,0.1
"Jan 14, 2020",0.1,0.2
"Nov 13, 2019",0.2,0.1
"Oct 10, 2019",0.1,0.3
"Sep 12, 2019",0.3,0.3
"Aug 13, 2019",0.3,0.1
"Jun 12, 2019",0.1,0.1
"May 10, 2019",0.1,0.1
"Apr 10, 2019",0.1,0.1
"Mar 12, 2019",0.1,0.2
"Feb 13, 2019",0.2,0.2
"Dec 12, 2018",0.2,0.2
"Nov 14, 2018",0.2,0.1
"Sep 13, 2018",0.1,0.2
"Aug 10, 2018",0.2,0.2
"Jul 12, 2018",0.2,0.2
"Jun 12, 2018",0.2,0.1
"May 10, 2018",0.1,0.2
"Mar 13, 2018",0.2,0.3
"Feb 14, 2018",0.3,0.3
"Jan 12, 2018",0.3,0.1
"Dec 13, 2017",0.1,0.2
"Nov 15, 2017",0.2,0.1
"Oct 13, 2017",0.1,0.2
"Sep 14, 2017",0.2,0.1
"Jul 14, 2017",0.1,0.1
"Jun 14, 2017",0.1,0.1
"May 12, 2017",0.1,-0.1
"Apr 14, 2017",-0.1,0.2
"Mar 15, 2017",0.2,0.3
"Feb 15, 2017",0.3,0.2
"Jan 18, 2017",0.2,0.2
"Dec 15, 2016",0.2,0.1
"Nov 17, 2016",0.1,0.1
"Oct 18, 2016",0.1,0.3
"Sep 16, 2016",0.3,0.1
"Aug 16, 2016",0.1,0.2
"Jul 15, 2016",0.2,0.2
"Jun 16, 2016",0.2,0.2
"May 17, 2016",0.2,0.1
"Apr 14, 2016",0.1,0.3
"Mar 16, 2016",0.3,0.3
"Feb 19, 2016",0.3,0.1
"Jan 20, 2016",0.1,0.2
"Dec 15, 2015",0.2,0.2
"Nov 17, 2015",0.2,0.2
"Oct 15, 2015",0.2,0.1
"Sep 16, 2015",0.1,0.1
"Aug 19, 2015",0.1,0.2
"Jul 17, 2015",0.2,0.1
"Jun 18, 2015",0.1,0.3
"May 22, 2015",0.3,0.2
"Apr 17, 2015",0.2,0.2
"Mar 24, 2015",0.2,0.2
"Feb 26, 2015",0.2,0
"Jan 16, 2015",0,0.1
"Dec 17, 2014",0.1,0.2
"Nov 20, 2014",0.2,0.1
"Oct 22, 2014",0.1,0
"Sep 17, 2014",0,0.1
"Aug 19, 2014",0.1,0.1
"Jul 22, 2014",0.1,0.3
"Jun 17, 2014",0.3,0.2
"May 15, 2014",0.2,0.2
"Apr 15, 2014",0.2,0.1
"Mar 18, 2014",0.1,0.1
"Feb 20, 2014",0.1,0.1
"Jan 16, 2014",0.1,0.2
"Dec 17, 2013",0.2,0.1
"Nov 20, 2013",0.1,0.1
"Oct 30, 2013",0.1,0.1
"Sep 17, 2013",0.1,0.2
"Aug 15, 2013",0.2,0.2
"Jul 16, 2013",0.2,0.2
"Jun 18, 2013",0.2,0.1
"May 16, 2013",0.1,0.1
"Apr 16, 2013",0.1,0.2
"Mar 15, 2013",0.2,0.3
"Feb 21, 2013",0.3,0.1
"Jan 16, 2013",0.1,0.1
"Dec 14, 2012",0.1,0.2
"Nov 15, 2012",0.2,0.1
"Oct 16, 2012",0.1,0.1
"Sep 14, 2012",0.1,0.1
"Aug 15, 2012",0.1,0.2
"Jul 17, 2012",0.2,0.2
"Jun 14, 2012",0.2,0.2
"May 15, 2012",0.2,0.2
