"","SPY.Open","SPY.High","SPY.Low","SPY.Close","SPY.Volume","SPY.Adjusted"
"2000-01-03",148.25,148.25,143.875,145.4375,8164300,91.8877868652344
"2000-01-04",143.53125,144.0625,139.640625,139.75,8089800,88.2943801879883
"2000-01-05",139.9375,141.53125,137.25,140,12177900,88.4523315429688
"2000-01-06",139.625,141.5,137.75,137.75,6227200,87.0307998657227
"2000-01-07",140.3125,145.75,140.0625,145.75,8066500,92.0852432250977
"2000-01-10",146.25,146.90625,145.03125,146.25,5741700,92.4011154174805
"2000-01-11",145.8125,146.09375,143.5,144.5,7503700,91.2953872680664
"2000-01-12",144.59375,144.59375,142.875,143.0625,6907700,90.3872909545898
"2000-01-13",144.46875,145.75,143.28125,145,5158300,91.6114044189453
"2000-01-14",146.53125,147.46875,145.96875,146.96875,7437300,92.8552169799805
"2000-01-18",145.34375,146.625,145.1875,145.8125,6488500,92.1246871948242
"2000-01-19",145.3125,147,145,147,6157900,92.8749847412109
"2000-01-20",146.96875,146.96875,143.8125,144.75,5800100,91.4534149169922
"2000-01-21",145.5,145.5,144.0625,144.4375,6244800,91.255989074707
"2000-01-24",145.65625,145.84375,139.40625,140.34375,7896900,88.6695404052734
"2000-01-25",140.515625,141.9375,139,141.9375,9942500,89.6765365600586
"2000-01-26",141,141.546875,140.09375,140.8125,5158100,88.9657135009766
"2000-01-27",141.84375,142.21875,138.125,140.25,10922700,88.6102676391602
"2000-01-28",139.4375,140.0625,135.53125,135.875,11916200,85.8461456298828
"2000-01-31",135.8125,139.671875,135,139.5625,10768700,88.1759414672852
"2000-02-01",139.75,141.6875,138.53125,140.9375,8419900,89.0446319580078
"2000-02-02",141.28125,142.25,140.375,141.0625,6205900,89.1236801147461
"2000-02-03",140.875,143.25,140,143.1875,7997500,90.4662170410156
"2000-02-04",143.1875,144,142.125,142.59375,4925400,90.0911026000977
"2000-02-07",142.5625,142.78125,141.4375,142.375,5845800,89.9529113769531
"2000-02-08",143.96875,144.5625,143.625,144.3125,4936400,91.177001953125
"2000-02-09",144.46875,144.46875,141.265625,141.28125,8511500,89.2618637084961
"2000-02-10",141.625,142.5625,140.875,141.5625,6690600,89.4395523071289
"2000-02-11",141.84375,141.9375,138.03125,138.6875,9849800,87.6231079101562
"2000-02-14",139.78125,139.78125,138.3125,139.5,8528800,88.1364440917969
"2000-02-15",139.25,141.21875,137.796875,141.078125,11078300,89.1334838867188
"2000-02-16",140.375,140.9375,138.796875,139,8845400,87.8205261230469
"2000-02-17",140.4375,140.4375,138.21875,138.28125,7584200,87.3664169311523
"2000-02-18",138.875,138.875,134.625,135.3125,9409200,85.4907608032227
"2000-02-22",135.1875,136.34375,133.53125,134.96875,16415400,85.2735595703125
"2000-02-23",135.625,137.46875,134.5,136.5625,12119000,86.2804946899414
"2000-02-24",136.6875,137.03125,133.09375,133.8125,17375000,84.5430755615234
"2000-02-25",135.1875,136.71875,133.125,133.328125,10559900,84.2370529174805
"2000-02-28",133.375,136.6875,132.71875,136.125,13397800,86.0040893554688
"2000-02-29",136.0625,137.4375,135.75,137.4375,8242500,86.8333129882812
"2000-03-01",137.625,139,137.21875,138.4375,6868000,87.4651412963867
"2000-03-02",138.6875,139.125,137.34375,138.53125,7600200,87.5244293212891
"2000-03-03",140.4375,141.71875,139.71875,141.125,12770300,89.1631240844727
"2000-03-06",140.8125,141.34375,138.75,139.75,11967100,88.2943801879883
"2000-03-07",140,140.15625,135.21875,137.046875,20062000,86.5865478515625
"2000-03-08",136.46875,137.84375,135.03125,136.875,11808500,86.4779815673828
"2000-03-09",137.25,140.875,136.125,140.875,5500900,89.0051574707031
"2000-03-10",140.1875,142,139.53125,140.125,7924600,88.5313491821289
"2000-03-13",136.6875,140.46875,135.6875,138.59375,10540500,87.5638961791992
"2000-03-14",139.28125,140.09375,136.15625,136.625,8263900,86.3200149536133
"2000-03-15",136.875,140.4375,136.0625,139.8125,10300800,88.333854675293
"2000-03-16",141.625,146.84375,140.875,146.34375,25601400,92.4603500366211
"2000-03-17",145.8125,148,145.4375,146.9375,10272900,93.0714263916016
"2000-03-20",146.875,147.34375,144.78125,146.1875,12502300,92.5963745117188
"2000-03-21",145.53125,149.75,144.5,149.1875,13612600,94.4965972900391
"2000-03-22",149.5625,150.84375,148.6875,150.09375,8260000,95.0706329345703
"2000-03-23",149.15625,153.46875,149.15625,152.65625,11654500,96.6937561035156
"2000-03-24",152.875,155.75,151.71875,153.5625,11462900,97.2677307128906
"2000-03-27",153.375,153.78125,151.8125,151.9375,8798600,96.2384643554688
"2000-03-28",151.25,152.984375,150.59375,151.0625,6334400,95.6842269897461
"2000-03-29",151.5625,152.484375,149.65625,151.21875,6747500,95.7832107543945
"2000-03-30",150.15625,151.921875,147.125,148.6875,9491900,94.1798858642578
"2000-03-31",149.625,152.3125,148.4375,150.375,9249100,95.2487716674805
"2000-04-03",150.125,151.25,148.6875,151.25,8508200,95.8030090332031
"2000-04-04",151.75,153,141.390625,150.125,19585500,95.0903930664062
"2000-04-05",147.875,150.8125,147.625,149.1875,8387200,94.4965972900391
"2000-04-06",150.25,151.6875,149,150.484375,6378500,95.3180389404297
"2000-04-07",151.5625,152.125,150.5,151.4375,6023600,95.921745300293
"2000-04-10",151.75,153.109375,150.3125,150.84375,9624200,95.5456237792969
"2000-04-11",150,151.625,148.375,150.40625,9006400,95.2685546875
"2000-04-12",150.375,151.15625,146.15625,146.28125,10779200,92.65576171875
"2000-04-13",147.46875,148.15625,143.78125,144.25,12225800,91.3691482543945
"2000-04-14",142.625,142.8125,133.5,136,29604000,86.1435089111328
