"Date","Actual","Previous"
"Dec 10, 2025",NA,4
"Oct 29, 2025",4,4.25
"Sep 17, 2025",4.25,4.5
"Jul 30, 2025",4.5,4.5
"Jun 18, 2025",4.5,4.5
"May 07, 2025",4.5,4.5
"Mar 19, 2025",4.5,4.5
"Jan 29, 2025",4.5,4.5
"Dec 18, 2024",4.5,4.75
"Nov 07, 2024",4.75,5
"Sep 18, 2024",5,5.5
"Jul 31, 2024",5.5,5.5
"Jun 12, 2024",5.5,5.5
"May 01, 2024",5.5,5.5
"Mar 20, 2024",5.5,5.5
"Jan 31, 2024",5.5,5.5
"Dec 13, 2023",5.5,5.5
"Nov 01, 2023",5.5,5.5
"Sep 20, 2023",5.5,5.5
"Jul 26, 2023",5.5,5.25
"Jun 14, 2023",5.25,5.25
"May 03, 2023",5.25,5
"Mar 22, 2023",5,4.75
"Feb 01, 2023",4.75,4.5
"Dec 14, 2022",4.5,4
"Nov 02, 2022",4,3.25
"Sep 21, 2022",3.25,2.5
"Jul 27, 2022",2.5,1.75
"Jun 15, 2022",1.75,1
"May 04, 2022",1,0.5
"Mar 16, 2022",0.5,0.25
"Jan 26, 2022",0.25,0.25
"Dec 15, 2021",0.25,0.25
"Nov 03, 2021",0.25,0.25
"Sep 22, 2021",0.25,0.25
"Jul 28, 2021",0.25,0.25
"Jun 16, 2021",0.25,0.25
"Apr 28, 2021",0.25,0.25
"Mar 17, 2021",0.25,0.25
"Jan 27, 2021",0.25,0.25
"Dec 16, 2020",0.25,0.25
"Nov 05, 2020",0.25,0.25
"Sep 16, 2020",0.25,0.25
"Jul 29, 2020",0.25,0.25
"Jun 10, 2020",0.25,0.25
"Apr 29, 2020",0.25,0.25
"Mar 15, 2020",0.25,1.25
"Mar 03, 2020",1.25,1.75
"Jan 29, 2020",1.75,1.75
"Oct 30, 2019",1.75,2
"Sep 18, 2019",2,2.25
"Jul 31, 2019",2.25,2.5
"Jun 19, 2019",2.5,2.5
"May 01, 2019",2.5,2.5
"Mar 20, 2019",2.5,2.5
"Jan 30, 2019",2.5,2.5
"Dec 19, 2018",2.5,2.25
"Nov 08, 2018",2.25,2.25
"Sep 26, 2018",2.25,2
"Aug 01, 2018",2,2
"Jun 13, 2018",2,1.75
"May 02, 2018",1.75,1.75
"Mar 21, 2018",1.75,1.5
"Jan 31, 2018",1.5,1.5
"Dec 13, 2017",1.5,1.25
"Nov 01, 2017",1.25,1.25
"Sep 20, 2017",1.25,1.25
"Jul 26, 2017",1.25,1.25
"Jun 14, 2017",1.25,1
"May 03, 2017",1,1
"Mar 15, 2017",1,0.75
"Feb 01, 2017",0.75,0.75
"Dec 14, 2016",0.75,0.5
"Nov 02, 2016",0.5,0.5
"Sep 21, 2016",0.5,0.5
"Jul 27, 2016",0.5,0.5
"Jun 15, 2016",0.5,0.5
"Apr 27, 2016",0.5,0.5
"Mar 16, 2016",0.5,0.5
"Jan 27, 2016",0.5,0.5
"Dec 16, 2015",0.5,0.25
"Oct 28, 2015",0.25,0.25
"Sep 17, 2015",0.25,0.25
"Jul 29, 2015",0.25,0.25
"Jun 17, 2015",0.25,0.25
"Apr 29, 2015",0.25,0.25
"Mar 18, 2015",0.25,0.25
"Jan 28, 2015",0.25,0.25
"Dec 17, 2014",0.25,0.25
"Oct 29, 2014",0.25,0.25
"Sep 17, 2014",0.25,0.25
"Jul 30, 2014",0.25,0.25
"Jun 18, 2014",0.25,0.25
"Apr 30, 2014",0.25,0.25
"Mar 19, 2014",0.25,0.25
"Jan 29, 2014",0.25,0.25
"Dec 18, 2013",0.25,0.25
"Oct 30, 2013",0.25,0.25
"Sep 18, 2013",0.25,0.25
"Jul 31, 2013",0.25,0.25
"Jun 19, 2013",0.25,0.25
"May 01, 2013",0.25,0.25
"Mar 20, 2013",0.25,0.25
"Jan 30, 2013",0.25,0.25
"Dec 12, 2012",0.25,0.25
"Oct 24, 2012",0.25,0.25
"Sep 13, 2012",0.25,0.25
"Aug 01, 2012",0.25,0.25
"Jun 20, 2012",0.25,0.25
"Apr 25, 2012",0.25,0.25
"Mar 13, 2012",0.25,0.25
"Jan 25, 2012",0.25,0.25
"Dec 14, 2010",0.25,0.25
"Nov 03, 2010",0.25,0.25
"Sep 21, 2010",0.25,0.25
"Aug 10, 2010",0.25,0.25
"Jun 23, 2010",0.25,0.25
"Apr 28, 2010",0.25,0.25
"Mar 16, 2010",0.25,0.25
"Jan 27, 2010",0.25,0.25
"Dec 16, 2009",0.25,0.25
"Nov 04, 2009",0.25,0.25
"Sep 23, 2009",0.25,0.25
"Aug 12, 2009",0.25,0.25
"Jun 24, 2009",0.25,0.25
"Apr 29, 2009",0.25,0.25
"Mar 18, 2009",0.25,0.25
"Jan 28, 2009",0.25,0.25
"Dec 16, 2008",0.25,1
"Oct 29, 2008",1,1.5
"Oct 08, 2008",1.5,2
"Sep 16, 2008",2,2
"Aug 05, 2008",2,2
"Jun 25, 2008",2,2
"Apr 30, 2008",2,2.25
"Mar 18, 2008",2.25,3
"Jan 30, 2008",3,3.5
"Jan 22, 2008",3.5,4.5
"Oct 31, 2007",4.5,4.75
